Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;160306;kg;Sicilia;NP;rifiuti organici diversi da quelli di cui alla voce 16 03 05;288198.0;299518.0;299518.0
2026;AG;160504;kg;Sicilia;P;gas in contenitori a pressione (compresi gli halon), contenenti sostanze pericolose;45.0;45.0;45.0
2026;AG;160506;kg;Sicilia;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;982.0;4294.0;4294.0
2026;AG;160508;kg;Sicilia;P;sostanze chimiche organiche di scarto contenenti o costituite da sostanze pericolose;391.0;459.0;459.0
2026;AG;160509;kg;Sicilia;NP;sostanze chimiche di scarto diverse da quelle di cui alle voci 16 05 06, 16 05 07 e 16 05 08;9544.0;9544.0;9544.0
2026;AG;160601;kg;Sicilia;P;batterie al piombo;235226.0;273453.0;282647.0
2026;AG;160602;kg;Sicilia;P;batterie al nichel-cadmio;8.0;9.0;9.0
2026;AG;160604;kg;Sicilia;NP;batterie alcaline (tranne 16 06 03);670.0;670.0;670.0
2026;AG;160605;kg;Sicilia;NP;altre batterie e accumulatori;;244.0;244.0
2026;AG;160708;kg;Sicilia;P;rifiuti contenenti oli;80980.0;80980.0;80980.0
2026;AG;160801;kg;Sicilia;NP;catalizzatori esauriti contenenti oro, argento, renio, rodio, palladio, iridio o platino (tranne 16 08 07);3085.0;4125.0;4207.0
2026;AG;160803;kg;Sicilia;NP;catalizzatori esauriti contenenti metalli di transizione o composti di metalli di transizione, non specificati altrimenti;1800.0;1800.0;1800.0
2026;AG;160807;kg;Sicilia;P;catalizzatori esauriti contaminati da sostanze pericolose;8229.0;8644.0;8772.0
2026;AG;161001;kg;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;6090.0;6142.0;6147.0
2026;AG;161001;l;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;20.0;20.0;20.0
