Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;160211;kg;Sicilia;P;apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC;160.0;0.0
2026;AG;160213;kg;Sicilia;P;apparecchiature fuori uso, contenenti componenti pericolosi (1) diversi da quelli di cui alle voci 16 02 09 e 16 02 12;0.0;630.0
2026;AG;160214;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;2752.0;592.0
2026;AG;160216;kg;Sicilia;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;75.0;200.0
2026;AG;160303;kg;Sicilia;P;rifiuti inorganici contenenti sostanze pericolose;87.0;8.0
2026;AG;160304;kg;Sicilia;NP;rifiuti inorganici, diversi da quelli di cui alla voce 16 03 03;20.0;0.0
2026;AG;160305;kg;Sicilia;P;rifiuti organici contenenti sostanze pericolose;0.0;0.0
2026;AG;160306;kg;Sicilia;NP;rifiuti organici diversi da quelli di cui alla voce 16 03 05;11320.0;0.0
2026;AG;160504;kg;Sicilia;P;gas in contenitori a pressione (compresi gli halon), contenenti sostanze pericolose;0.0;0.0
2026;AG;160506;kg;Sicilia;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;3312.0;0.0
2026;AG;160508;kg;Sicilia;P;sostanze chimiche organiche di scarto contenenti o costituite da sostanze pericolose;68.0;0.0
2026;AG;160509;kg;Sicilia;NP;sostanze chimiche di scarto diverse da quelle di cui alle voci 16 05 06, 16 05 07 e 16 05 08;0.0;0.0
2026;AG;160601;kg;Sicilia;P;batterie al piombo;38227.0;9194.0
2026;AG;160602;kg;Sicilia;P;batterie al nichel-cadmio;1.0;0.0
2026;AG;160604;kg;Sicilia;NP;batterie alcaline (tranne 16 06 03);0.0;0.0
2026;AG;160605;kg;Sicilia;NP;altre batterie e accumulatori;244.0;0.0
2026;AG;160708;kg;Sicilia;P;rifiuti contenenti oli;0.0;0.0
2026;AG;160801;kg;Sicilia;NP;catalizzatori esauriti contenenti oro, argento, renio, rodio, palladio, iridio o platino (tranne 16 08 07);1040.0;82.0
2026;AG;160803;kg;Sicilia;NP;catalizzatori esauriti contenenti metalli di transizione o composti di metalli di transizione, non specificati altrimenti;0.0;0.0
2026;AG;160807;kg;Sicilia;P;catalizzatori esauriti contaminati da sostanze pericolose;415.0;128.0
2026;AG;161001;kg;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;52.0;5.0
2026;AG;161001;l;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;0.0;0.0
2026;AG;161002;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;1676340.0;384860.0
2026;AG;161002;l;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;63820.0;0.0
2026;AG;161004;kg;Sicilia;NP;concentrati acquosi, diversi da quelli di cui alla voce 16 10 03;0.0;0.0
2026;AG;161106;kg;Sicilia;NP;rivestimenti e materiali refrattari provenienti da lavorazioni non metallurgiche, diversi da quelli di cui alla voce 16 11 05;0.0;0.0
2026;AG;170101;kg;Sicilia;NP;cemento;137980.0;510960.0
2026;AG;170103;kg;Sicilia;NP;mattonelle e ceramiche;0.0;0.0
2026;AG;170107;kg;Sicilia;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;100.0;0.0
2026;AG;170201;kg;Sicilia;NP;legno;5720.0;350.0
2026;AG;170202;kg;Sicilia;NP;vetro;100.0;0.0
