Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;190501;;kg;Sicilia;NP;parte di rifiuti urbani e simili non compostata;;1012547.0;1012547.0;1012547.0
2026;AG;190703;D8;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D;3379680.0;3757860.0;3757860.0
2026;AG;190703;D9;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D;57038040.0;60404160.0;60892800.0
2026;AG;190801;D1;kg;Sicilia;NP;Residui di vagliatura;D;278380.0;278380.0;278380.0
2026;AG;190802;D1;kg;Sicilia;NP;rifiuti da dissabbiamento;D;122940.0;122940.0;122940.0
2026;AG;190802;D8;kg;Sicilia;NP;rifiuti da dissabbiamento;D;8381.0;11503.0;11503.0
2026;AG;190802;D9;kg;Sicilia;NP;rifiuti da dissabbiamento;D;245400.0;266639.0;266639.0
2026;AG;190805;D8;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D;343596.0;444744.0;444744.0
2026;AG;190805;D9;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D;332685.0;462988.0;462988.0
2026;AG;190809;D8;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D;163110.0;245890.0;245890.0
2026;AG;190809;D9;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D;375880.0;429920.0;456400.0
2026;AG;190812;D8;kg;Sicilia;NP;fanghi prodotti dal trattamento biologico di acque reflue industriali, diversi da quelli di cui alla voce 19 08 11;D;2940.0;2940.0;2940.0
2026;AG;190814;D1;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D;356320.0;544360.0;544360.0
2026;AG;190814;D8;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D;6120.0;6120.0;6120.0
2026;AG;190814;R5;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;R;23980.0;40250.0;40250.0
2026;AG;191202;R4;kg;Sicilia;NP;metalli ferrosi;R;84860.0;94000.0;94000.0
2026;AG;191204;R12;kg;Sicilia;NP;plastica e gomma;R;46500.0;46500.0;46500.0
2026;AG;191207;R13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;R;211390.0;211390.0;211390.0
2026;AG;191207;R3;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;R;141820.0;141820.0;141820.0
2026;AG;191208;R13;kg;Sicilia;NP;prodotti tessili;R;14220.0;14220.0;14220.0
2026;AG;191208;R3;kg;Sicilia;NP;prodotti tessili;R;3000.0;3000.0;3000.0
2026;AG;191212;D1;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;D;58278471.0;70739455.0;70739455.0
2026;AG;191212;R12;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;R;4160.0;4160.0;4160.0
2026;AG;191308;D9;kg;Sicilia;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;D;4934340.0;6307680.0;6899240.0
2026;AG;200101;R13;kg;Sicilia;NP;carta e cartone;R;29600.0;29600.0;29600.0
2026;AG;200101;R3;kg;Sicilia;NP;carta e cartone;R;9603790.0;11126510.0;11417890.0
2026;AG;200102;R12;kg;Sicilia;NP;vetro;R;20.0;20.0;20.0
2026;AG;200108;;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;;;1886280.0;1886280.0
2026;AG;200108;R13;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;R;352940.0;352940.0;352940.0
2026;AG;200108;R3;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;R;1496240.0;1880280.0;1905700.0
2026;AG;200110;D13;kg;Sicilia;NP;abbigliamento;D;5080.0;5080.0;5080.0
2026;AG;200110;R12;kg;Sicilia;NP;abbigliamento;R;343700.0;463440.0;463440.0
2026;AG;200110;R13;kg;Sicilia;NP;abbigliamento;R;6590.0;6590.0;6590.0
2026;AG;200110;R3;kg;Sicilia;NP;abbigliamento;R;189965.0;235995.0;235995.0
2026;AG;200111;R12;kg;Sicilia;NP;prodotti tessili;R;411200.0;494620.0;514620.0
2026;AG;200111;R13;kg;Sicilia;NP;prodotti tessili;R;34422.0;64210.0;64210.0
2026;AG;200136;R13;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;3330.0;3330.0;3330.0
2026;AG;200136;R4;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;14410.0;14410.0;14410.0
2026;AG;200138;D13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;D;11300.0;12720.0;12720.0
2026;AG;200138;R12;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;732800.0;833880.0;868900.0
2026;AG;200138;R13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;59300.0;74360.0;74360.0
2026;AG;200138;R3;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;515000.0;535000.0;535000.0
2026;AG;200139;D13;kg;Sicilia;NP;plastica;D;11330.0;12910.0;12910.0
2026;AG;200139;R12;kg;Sicilia;NP;plastica;R;265080.0;314900.0;314900.0
2026;AG;200139;R13;kg;Sicilia;NP;plastica;R;14840.0;14840.0;14840.0
2026;AG;200139;R3;kg;Sicilia;NP;plastica;R;226220.0;286220.0;286220.0
2026;AG;200140;R12;kg;Sicilia;NP;metalli;R;11700.0;15780.0;15780.0
2026;AG;200140;R13;kg;Sicilia;NP;metalli;R;240.0;240.0;240.0
2026;AG;200140;R4;kg;Sicilia;NP;metalli;R;67990.0;88230.0;88230.0
2026;AG;200201;D1;kg;Sicilia;NP;rifiuti biodegradabili;D;5180.0;5180.0;5180.0
2026;AG;200201;R12;kg;Sicilia;NP;rifiuti biodegradabili;R;50940.0;62520.0;62520.0
2026;AG;200201;R13;kg;Sicilia;NP;rifiuti biodegradabili;R;472000.0;472000.0;472000.0
2026;AG;200201;R3;kg;Sicilia;NP;rifiuti biodegradabili;R;198520.0;666740.0;673300.0
2026;AG;200201;R5;kg;Sicilia;NP;rifiuti biodegradabili;R;10000.0;10000.0;10000.0
2026;AG;200301;D13;kg;Sicilia;NP;rifiuti urbani non differenziati;D;256180.0;256180.0;256180.0
2026;AG;200301;D15;kg;Sicilia;NP;rifiuti urbani non differenziati;D;24855700.0;28794420.0;28794420.0
2026;AG;200301;R12;kg;Sicilia;NP;rifiuti urbani non differenziati;R;2680980.0;3106580.0;3237000.0
2026;AG;200301;R3;kg;Sicilia;NP;rifiuti urbani non differenziati;R;140000.0;140000.0;140000.0
2026;AG;200301;R5;kg;Sicilia;NP;rifiuti urbani non differenziati;R;2520.0;2520.0;2520.0
2026;AG;200303;D13;kg;Sicilia;NP;residui della pulizia stradale;D;133280.0;167740.0;167740.0
2026;AG;200304;D8;kg;Sicilia;NP;fanghi delle fosse settiche;D;3831350.0;4834860.0;4834860.0
2026;AG;200304;D9;kg;Sicilia;NP;fanghi delle fosse settiche;D;264160.0;644740.0;736520.0
2026;AG;200306;D8;kg;Sicilia;NP;rifiuti della pulizia delle fognature;D;1636389.0;2756389.0;2756389.0
2026;AG;200306;D9;kg;Sicilia;NP;rifiuti della pulizia delle fognature;D;8205.0;8205.0;39885.0
2026;AG;200307;R12;kg;Sicilia;NP;rifiuti ingombranti;R;6781657.0;7993326.0;8165246.0
2026;AG;200307;R3;kg;Sicilia;NP;rifiuti ingombranti;R;30000.0;30000.0;30000.0
2026;AL;010102;R10;kg;Piemonte;NP;rifiuti da estrazione di minerali non metalliferi;R;5897440.0;6101340.0;6101340.0
2026;AL;010412;R10;kg;Piemonte;NP;sterili ed altri residui del lavaggio e della pulitura di minerali, diversi da quelli di cui alle voci 0104 07 e 01 04 11;R;2385860.0;2385860.0;2385860.0
2026;AL;010413;R5;kg;Piemonte;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;491520.0;530350.0;530350.0
2026;AL;020101;R10;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;R;6300.0;6300.0;8500.0
2026;AL;020201;D13;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;D;188390.0;236130.0;236130.0
2026;AL;020304;D13;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;D;151870.0;175670.0;175670.0
2026;AL;020304;R10;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;36000.0;42000.0;47000.0
2026;AL;020304;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;121650.0;121870.0;126590.0
2026;AL;020399;R10;kg;Piemonte;NP;rifiuti non specificati altrimenti;R;7800.0;7800.0;10100.0
2026;AL;020601;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;166850.0;166850.0;199470.0
2026;AL;020704;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;11020.0;11020.0;18820.0
2026;AL;030105;R1;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;120000.0;143000.0;144000.0
2026;AL;030105;R12;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;22520.0;22520.0;22520.0
2026;AL;030105;R13;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;28580.0;31760.0;31760.0
2026;AL;030105;R3;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;107620.0;107620.0;107620.0
2026;AL;030307;R12;kg;Piemonte;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R;1776320.0;2067610.0;2067610.0
2026;AL;030307;R13;kg;Piemonte;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R;89860.0;103400.0;103400.0
2026;AL;040220;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D;250540.0;250540.0;250540.0
2026;AL;040222;R12;kg;Piemonte;NP;rifiuti da fibre tessili lavorate;R;34830.0;35380.0;58180.0
2026;AL;050107;R6;kg;Piemonte;P;catrami acidi;R;1446139.0;1504079.0;1523086.0
2026;AL;060101;R6;kg;Piemonte;P;acido solforico e acido solforoso;R;18297776.0;21451990.0;22813241.0
2026;AL;060203;R5;kg;Piemonte;P;idrossido di ammonio;R;4530.0;10839.0;10839.0
