Anno;Provincia impianto;Regione;Codice EER;Pericoloso;Descrizione EER;Attivita a destinazione;Tipo operazione;Quantita;Unita di misura
2025;AG;Sicilia;191212;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;R13;R;3061;kg
2025;AG;Sicilia;191306;NP;fanghi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 05;D9;D;76600;kg
2025;AG;Sicilia;191308;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;D9;D;5497040;kg
2025;AG;Sicilia;200101;NP;carta e cartone;R12;R;30000;kg
2025;AG;Sicilia;200101;NP;carta e cartone;R13;R;954000;kg
2025;AG;Sicilia;200101;NP;carta e cartone;R3;R;19682631;kg
2025;AG;Sicilia;200102;NP;vetro;R5;R;2080;kg
2025;AG;Sicilia;200108;NP;rifiuti biodegradabili di cucine e mense;;;3020805;kg
2025;AG;Sicilia;200108;NP;rifiuti biodegradabili di cucine e mense;R13;R;8126620;kg
2025;AG;Sicilia;200108;NP;rifiuti biodegradabili di cucine e mense;R3;R;20064172;kg
2025;AG;Sicilia;200110;NP;abbigliamento;D13;D;12700;kg
2025;AG;Sicilia;200110;NP;abbigliamento;R12;R;318100;kg
2025;AG;Sicilia;200110;NP;abbigliamento;R13;R;19588;kg
2025;AG;Sicilia;200110;NP;abbigliamento;R3;R;231898;kg
2025;AG;Sicilia;200111;NP;prodotti tessili;D15;D;4800;kg
2025;AG;Sicilia;200111;NP;prodotti tessili;R12;R;613400;kg
2025;AG;Sicilia;200111;NP;prodotti tessili;R13;R;116585;kg
2025;AG;Sicilia;200111;NP;prodotti tessili;R3;R;156980;kg
2025;AG;Sicilia;200136;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R13;R;7100;kg
2025;AG;Sicilia;200136;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R4;R;13730;kg
2025;AG;Sicilia;200138;NP;legno diverso da quello di cui alla voce 20 01 37;D13;D;28600;kg
