report_id;da_run;a_run;tipo_variazione;Provincia;Campo;Regione;Valore_prec;Valore_att;Delta;Stato
59;2026-09-15;2026-09-18;stato attuale (senza anno);CB;di cui Centro di raccolta;Molise;44;46;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CB;di cui Produttore;Molise;1529;1535;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CB;di cui Trasportatore;Molise;200;201;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CE;Numero operatori iscritti;Campania;5362;5389;27;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CE;Numero unita locali iscritte;Campania;6170;6213;43;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CE;di cui Produttore;Campania;5616;5659;43;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CE;di cui Recuperatore;Campania;269;270;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CE;di cui Trasportatore;Campania;997;1000;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CH;Numero operatori iscritti;Abruzzo;2435;2439;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CH;Numero unita locali iscritte;Abruzzo;3091;3095;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CH;di cui Produttore;Abruzzo;2925;2929;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CH;di cui Trasportatore;Abruzzo;323;325;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CI;Numero operatori iscritti;Sardegna;71;76;5;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CI;Numero unita locali iscritte;Sardegna;85;129;44;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CI;di cui Produttore;Sardegna;64;108;44;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CI;di cui Smaltitore;Sardegna;3;4;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CI;di cui Trasportatore;Sardegna;18;19;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CL;Numero operatori iscritti;Sicilia;1174;1178;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CL;Numero unita locali iscritte;Sicilia;1438;1442;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CL;di cui Produttore;Sicilia;1314;1317;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CL;di cui Trasportatore;Sicilia;219;221;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CN;Numero operatori iscritti;Piemonte;4163;4176;13;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CN;Numero unita locali iscritte;Piemonte;5509;5523;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CN;di cui Produttore;Piemonte;5251;5265;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CO;Numero operatori iscritti;Lombardia;3647;3657;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CO;Numero unita locali iscritte;Lombardia;4464;4477;13;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CO;di cui Produttore;Lombardia;4221;4233;12;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CO;di cui Trasportatore;Lombardia;521;524;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CR;Numero operatori iscritti;Lombardia;2292;2309;17;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CR;Numero unita locali iscritte;Lombardia;2936;2954;18;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CR;di cui Centro di raccolta;Lombardia;92;97;5;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CR;di cui Produttore;Lombardia;2750;2762;12;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CR;di cui Trasportatore;Lombardia;270;272;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CS;Numero operatori iscritti;Calabria;2796;2824;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CS;Numero unita locali iscritte;Calabria;3859;3894;35;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CS;di cui Centro di raccolta;Calabria;34;36;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CS;di cui Produttore;Calabria;3683;3714;31;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CS;di cui Trasportatore;Calabria;483;487;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CT;Numero operatori iscritti;Sicilia;4202;4221;19;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CT;Numero unita locali iscritte;Sicilia;4910;4938;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CT;di cui Intermediario senza detenzione;Sicilia;109;110;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CT;di cui Produttore;Sicilia;4513;4541;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CT;di cui Trasportatore;Sicilia;689;688;-1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CZ;Numero operatori iscritti;Calabria;1856;1873;17;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CZ;Numero unita locali iscritte;Calabria;2336;2357;21;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CZ;di cui Centro di raccolta;Calabria;28;30;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CZ;di cui Produttore;Calabria;2163;2182;19;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);EN;Numero operatori iscritti;Sicilia;695;696;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);EN;Numero unita locali iscritte;Sicilia;812;813;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);EN;di cui Produttore;Sicilia;728;729;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);EN;di cui Trasportatore;Sicilia;102;101;-1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FC;Numero operatori iscritti;Emilia Romagna;2763;2769;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FC;Numero unita locali iscritte;Emilia Romagna;3509;3520;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FC;di cui Produttore;Emilia Romagna;3363;3374;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FC;di cui Trasportatore;Emilia Romagna;329;331;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FE;Numero operatori iscritti;Emilia Romagna;1925;1927;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FE;Numero unita locali iscritte;Emilia Romagna;2471;2474;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FE;di cui Produttore;Emilia Romagna;2376;2379;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FG;Numero operatori iscritti;Puglia;2774;2792;18;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FG;Numero unita locali iscritte;Puglia;3541;3567;26;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FG;di cui Centro di raccolta;Puglia;44;50;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FG;di cui Produttore;Puglia;3216;3236;20;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FG;di cui Trasportatore;Puglia;607;608;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FI;Numero operatori iscritti;Toscana;7671;7693;22;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FI;Numero unita locali iscritte;Toscana;9955;9987;32;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FI;di cui Produttore;Toscana;9447;9479;32;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FI;di cui Trasportatore;Toscana;1144;1146;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FM;Numero operatori iscritti;Marche;1430;1433;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FM;Numero unita locali iscritte;Marche;1636;1639;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FM;di cui Produttore;Marche;1547;1550;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FR;Numero operatori iscritti;Lazio;2820;2834;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FR;Numero unita locali iscritte;Lazio;3344;3360;16;riga preesistente
