report_id;da_run;a_run;tipo_variazione;Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Valore_prec;Valore_att;Delta;Stato
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;040222;R12;kg;Piemonte;NP;rifiuti da fibre tessili lavorate;R;35380.0;58180.0;22800.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;050107;R6;kg;Piemonte;P;catrami acidi;R;1504079.0;1523086.0;19007.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;060101;R6;kg;Piemonte;P;acido solforico e acido solforoso;R;21451990.0;22813241.0;1361251.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;060602;R5;kg;Piemonte;P;rifiuti contenenti solfuri pericolosi;R;873060.0;939560.0;66500.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;070213;R12;kg;Piemonte;NP;rifiuti plastici;R;145190.0;151460.0;6270.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;070608;R6;kg;Piemonte;P;altri fondi e residui di reazione;R;460050.0;498054.0;38004.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;070704;R1;kg;Piemonte;P;altri solventi organici, soluzioni di lavaggio e acque madri;R;548250.0;570709.0;22459.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;070708;R1;kg;Piemonte;P;altri fondi e residui di reazione;R;640340.0;751500.0;111160.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;101208;R5;kg;Piemonte;NP;scarti di ceramica, mattoni, mattonelle e materiali da costruzione (sottoposti a trattamento termico);R;395390.0;470490.0;75100.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;120104;R5;kg;Piemonte;NP;polveri e particolato di metalli non ferrosi;R;69960.0;75460.0;5500.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;120105;R12;kg;Piemonte;NP;limatura e trucioli di materiali plastici;R;89200.0;91800.0;2600.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;120117;R5;kg;Piemonte;NP;residui di materiale di sabbiatura, diversi da quelli di cui alla voce 12 01 16;R;1214804.0;1225394.0;10590.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;120121;R5;kg;Piemonte;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;R;154500.0;166510.0;12010.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150101;R3;kg;Piemonte;NP;imballaggi di carta e cartone;R;18733165.0;20134225.0;1401060.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150102;D13;kg;Piemonte;NP;imballaggi di plastica;D;1340.0;7720.0;6380.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150102;R12;kg;Piemonte;NP;imballaggi di plastica;R;4244688.0;4969838.0;725150.0;riga preesistente
